Owner,Length Remaining,Acquired,Year of Contract,Pos,Player,Per Year $ (In M),2025,2026,2027,2028,,2025,2026,2027,1 or 2 years?
Tommy-IR,1,UFA,2022,QB,Deshaun Watson,$42.00,$0.00,,,,,$0.00,,,1
Tommy-IR,1,2022-R1,2022,WR,Christian Watson,$5.25,$0.00,,,,,$0.00,,,1
Tommy-TS,3,2025-R2,2025,QB,Shadeur Sanders,$4.75,$4.75,$4.75,$4.75,,,$2.50,$4.75,,1
Tommy-TS,2,2024-R3,2024,RB,Audric Estime,$3.75,$3.75,$3.75,,,,$2.00,$1.00,,1
Tommy-TS,3,2025-R3,2025,RB,Dylan Sampson,$2.75,$2.75,$2.75,$2.75,,,$1.50,$2.75,,1
Tommy-TS,3,2025-R3,2025,TE,Harold Fannin,$3.00,$3.00,$3.00,$3.00,,,$1.50,$3.00,,1
Tyler,1,UFA,2024,QB,Aidan OConnell,$11.50,$11.50,,,,,$5.75,,,1
Tyler,2,2024-R1,2024,QB,Bo Nix,$8.25,$8.25,$8.25,,,,$4.25,$2.00,,1
Tyler,2,RFA,2025,QB,Trevor Lawrence,$37.75,$37.75,$37.75,,,,$19.00,$9.50,,1
Tyler,3,2025-R2,2025,RB,Cam Skattebo,$6.75,$6.75,$6.75,$6.75,,,$3.50,$6.75,,1
Tyler,3,2025-R3,2025,RB,Devin Neal,$2.50,$2.50,$2.50,$2.50,,,$1.25,$2.50,,1
Tyler,3,2025-R4,2025,RB,DJ Giddens,$2.25,$2.25,$2.25,$2.25,,,$1.25,$2.25,,1
Tyler,2,2024-R2,2024,RB,Jaylen Wright,$4.75,$4.75,$4.75,,,,$2.50,$1.25,,1
