Owner,Length_Remaining,Acquired,Year_of_Contract,Pos,full_name,Per_Year_M,2025,2026,2027,2028,Unnamed: 11,2025.1,2026.1,2027.1,1 or 2 years?,player_type
Mike N,2.0,2024-R2,2024.0,WR,JaLynn Polk,$4.00,$4.00,$4.00,  ,  ,,$2.00,$1.00,,1,  
Mike N,1.0,2023-R2,2023.0,WR,Jayden Reed,$3.75,$3.75,  ,  ,  ,,$2.00,,,1,  
Mike N,2.0,2024-R2,2024.0,WR,Keon Coleman,$6.25,$6.25,$6.25,  ,  ,,$3.25,$1.50,,1,  
Mike N,3.0,UFA,2025.0,WR,Michael Pittman,$19.50,$19.50,$19.50,$19.50,  ,,$9.75,$19.50,,1,  
Mike N,2.0,2024-R1,2024.0,WR,Rome Odunze,$8.75,$8.75,$8.75,  ,  ,,$4.50,$2.25,,1,  
Mike N,3.0,2025-R1,2025.0,WR,Travis Hunter,$9.25,$9.25,$9.25,$9.25,  ,,$4.75,$9.25,,1,  
Mike N,1.0,2023-R4,2023.0,WR,Trey Palmer,$1.00,$1.00,  ,  ,  ,,$0.50,,,1,  
Mike N,1.0,2023-R3,2023.0,WR,Tank Dell,$2.00,$0.00,  ,  ,  ,,$0.00,,,1,IR
Mike N,3.0,2025-R2,2025.0,RB,Bhayshul Tuten,$4.25,$4.25,$4.25,$4.25,  ,,$2.25,$4.25,,1,TS
Mike N,3.0,2025-R3,2025.0,RB,Jacory Croskey-Merritt,$2.50,$2.50,$2.50,$2.50,  ,,$1.25,$2.50,,1,TS
Mike N,3.0,2025-R2,2025.0,TE,Colston Loveland,$6.25,$6.25,$6.25,$6.25,  ,,$3.25,$6.25,,1,TS
Mike N,2.0,2024-R2,2024.0,WR,Troy Franklin,$5.00,$5.00,$5.00,  ,  ,,$2.50,$1.25,,1,TS
Nick,2.0,UFA,2024.0,QB,Drew Lock,$4.00,$4.00,$4.00,  ,  ,,$2.00,$1.00,,1,  
Nick,2.0,UFA,2025.0,QB,Joe Milton,$8.00,$8.00,$8.00,  ,  ,,$4.00,$2.00,,1,  
Nick,3.0,UFA,2024.0,QB,Russell Wilson,$24.00,$24.00,$24.00,$24.00,  ,,$12.00,$24.00,,1,  
Nick,2.0,2024-R3,2024.0,RB,Bucky Irving,$3.00,$3.00,$3.00,  ,  ,,$1.50,$0.75,,1,  
Nick,1.0,2023-R3,2023.0,RB,Chase Brown,$3.00,$3.00,  ,  ,  ,,$1.50,,,1,  
Nick,2.0,2023-R1,2023.0,RB,DeVon Achane,$6.50,$6.50,$23.50,  ,  ,,$3.25,$6.00,,1,  
Nick,1.0,2022-R1,2022.0,RB,James Cook,$6.00,$23.50,  ,  ,  ,,$11.75,,,1,  
Nick,3.0,FM,2025.0,RB,Jordan Mason,$14.00,$14.00,$14.00,$14.00,  ,,$7.00,$14.00,,1,  
Nick,3.0,FM,2025.0,RB,Najee Harris,$10.00,$10.00,$10.00,$10.00,  ,,$5.00,$10.00,,1,  
Nick,3.0,FM,2025.0,RB,Rachaad White,$6.50,$6.50,$6.50,$6.50,  ,,$3.25,$6.50,,1,  
Nick,3.0,UFA,2024.0,RB,Zack Moss,$13.00,$13.00,$13.00,$13.00,  ,,$6.50,$13.00,,1,  
Nick,2.0,RFA,2025.0,TE,Trey McBride,$20.00,$20.00,$20.00,  ,  ,,$10.00,$5.00,,1,  
Nick,1.0,RFA,2024.0,WR,Davante Adams,$30.00,$30.00,  ,  ,  ,,$15.00,,,1,  
Nick,1.0,UFA,2024.0,WR,DeMario Douglas,$11.00,$11.00,  ,  ,  ,,$5.50,,,1,  
Nick,1.0,FM,2025.0,WR,Jalen Coker,$8.00,$8.00,  ,  ,  ,,$4.00,,,1,  
Nick,3.0,FM,2025.0,WR,Jauan Jennings,$15.00,$15.00,$15.00,$15.00,  ,,$7.50,$15.00,,1,  
Nick,1.0,RFA,2024.0,WR,Khalil Shakir,$12.25,$12.25,  ,  ,  ,,$6.25,,,1,  
Nick,2.0,2024-R3,2024.0,WR,Luke McCaffrey,$2.75,$2.75,$2.75,  ,  ,,$1.50,$0.75,,1,  
Nick,3.0,FM,2025.0,WR,Rashid Shaheed,$12.50,$12.50,$12.50,$12.50,  ,,$6.25,$12.50,,1,  
Nick,3.0,2025-R1,2025.0,QB,Jaxson Dart,$7.00,$7.00,$7.00,$7.00,  ,,$3.50,$7.00,,1,TS
Nick,3.0,2025-R3,2025.0,QB,Riley Leonard,$2.50,$2.50,$2.50,$2.50,  ,,$1.25,$2.50,,1,TS
Nick,3.0,2025-R3,2025.0,QB,Will Howard,$3.00,$3.00,$3.00,$3.00,  ,,$1.50,$3.00,,1,TS
Nick,2.0,2024-R4,2024.0,WR,Roman Wilson,$4.00,$4.00,$4.00,  ,  ,,$2.00,$1.00,,1,TS
Ruben,2.0,RFA,2025.0,QB,Brock Purdy,$39.00,$39.00,$39.00,  ,  ,,$19.50,$9.75,,1,  
Ruben,3.0,FM,2024.0,QB,Kyler Murray,$62.00,$72.25,$72.25,$72.50,  ,,$36.25,$72.50,,1,  
Ruben,1.0,RFA,2024.0,QB,Lamar Jackson,$54.00,$54.00,  ,  ,  ,,$27.00,,,1,  
Ruben,2.0,RFA,2025.0,RB,Chuba Hubbard,$33.00,$33.00,$33.00,  ,  ,,$16.50,$8.25,,1,  
Ruben,3.0,UFA,2024.0,RB,Jaleel McLaughlin,$4.50,$4.50,$4.50,$4.50,  ,,$2.25,$4.50,,1,  
Ruben,2.0,UFA,2023.0,RB,Jaylen Warren,$2.25,$2.25,$2.25,  ,  ,,$1.25,$0.50,,1,  
Ruben,3.0,UFA,2024.0,RB,Keaton Mitchell,$4.75,$4.75,$4.75,$4.75,  ,,$2.50,$4.75,,1,  
Ruben,3.0,2025-R4,2025.0,RB,Tahj Brooks,$1.75,$1.75,$1.75,$1.75,  ,,$1.00,$1.75,,1,  
Ruben,3.0,UFA,2024.0,TE,Cade Otton,$0.75,$0.75,$0.75,$0.75,  ,,$0.50,$0.75,,1,  
Ruben,3.0,UFA,2024.0,TE,Isaiah Likely,$9.75,$9.75,$9.75,$9.75,  ,,$5.00,$9.75,,1,  
Ruben,3.0,FM,2024.0,WR,Dontayvion Wicks,$12.50,$12.50,$12.50,$12.50,  ,,$6.25,$12.50,,1,  
Ruben,3.0,2025-R3,2025.0,WR,Jack Bech,$3.75,$3.75,$3.75,$3.75,  ,,$2.00,$3.75,,1,  
Ruben,1.0,2023-R3,2023.0,WR,Jalin Hyatt,$2.75,$2.75,  ,  ,  ,,$1.50,,,1,  
Ruben,1.0,RFA/Rstr2024,2024.0,WR,Justin Jefferson,$41.00,$20.50,  ,  ,  ,,$10.25,,,1,  
Ruben,2.0,2024-R1,2024.0,RB,Jonathon Brooks,$7.75,$0.00,$7.75,  ,  ,,$0.00,$2.00,,1,IR
Ruben,2.0,2024-R4,2024.0,TE,Erick All,$1.25,$0.00,$1.25,  ,  ,,$0.00,$0.25,,1,IR
Ruben,3.0,2025-R3,2025.0,RB,Jarquez Hunter,$3.75,$3.75,$3.75,$3.75,  ,,$2.00,$3.75,,1,TS
Ruben,2.0,2024-R3,2024.0,RB,Ray Davis,$3.25,$3.25,$3.25,  ,  ,,$1.75,$0.75,,1,TS
Ruben,3.0,2025-R2,2025.0,WR,Luther Burden,$6.50,$6.50,$6.50,$6.50,  ,,$3.25,$6.50,,1,TS
Ruben,2.0,2024-R3,2024.0,WR,Malik Washington,$2.50,$2.50,$2.50,  ,  ,,$1.25,$0.75,,1,TS
